name,costPrice,sellingPrice,description,um,code,category
Cheese - Colby,30488.73,37133.58,"Fragmentation in Bladder, Open Approach",kg,Q250,goods
Venison - Striploin,5690.71,48614.45,"Excision of Left Shoulder Region, Percutaneous Approach",kg,S1090,goods
Cleaner - Comet,33333.46,53617.24,"Revision of Other Device in L Low Extrem, Perc Approach",kg,B361,goods
Bacon Strip Precooked,32689.75,15821.6,"Revision of Nonaut Sub in L Finger Phalanx Jt, Open Approach",kg,S6620,goods
Pasta - Canelloni,5424.71,14311.16,"Dilate of L Ext Carotid with 4+ Intralum Dev, Open Approach",kg,H20811,goods
Swiss Chard,37221.9,30551.56,"Excision of Left Sternoclavicular Joint, Perc Approach",kg,T24201S,goods
Pasta - Fusili Tri - Coloured,34067.62,20363.11,"Drainage of Head with Drainage Device, Open Approach",kg,S42142B,goods
Wine - Sicilia Igt Nero Avola,43470.27,48465.39,"Introduction of Oth Therap Subst into Bil/Panc Tract, Endo",kg,S79111P,goods
Bag - Clear 7 Lb,26360.34,2606.73,Immobilization of Neck using Other Device,kg,W6101XD,goods
Curry Paste - Green Masala,13110.07,11680.78,"Drainage of Left Neck Muscle, Open Approach, Diagnostic",kg,T432,goods
Jameson Irish Whiskey,23355.59,52085.81,"Insertion of Ext Fix into R Metatarsal, Open Approach",kg,S82443R,goods
Mayonnaise,38366.13,52709.51,"Dilate Bi Vas Deferens w Intralum Dev, Perc Endo",kg,W368XXA,goods
Bread - Raisin Walnut Pull,11539.63,14098.37,Packing of Ear using Packing Material,kg,T415X5A,goods
Mushroom - Chanterelle Frozen,41435.28,29711.15,Plaque Radiation of Brain Stem,kg,F3164,goods
Capers - Ox Eye Daisy,24299.34,47136.22,Removal of Intermittent Pressure Device on Head,kg,H05811,goods
Mint - Fresh,37071.78,51759.22,"Revision of Autol Sub in Lumsac Disc, Extern Approach",kg,M06849,goods
Bread - Raisin,20289.35,33754.41,"Dilate Mitral Valve w Drug-elut Intra, Perc Endo",kg,T534X3D,goods
Bag - Clear 7 Lb,17916.53,45595.09,"Destruction of Left Common Iliac Vein, Open Approach",kg,T25729S,goods
"Water - Mineral, Natural",22659.47,32662.0,"Excision of Right Femoral Shaft, Perc Endo Approach, Diagn",kg,E113319,goods
"Lettuce - Romaine, Heart",3485.33,44046.0,"Insertion of Infusion Device into R Foot Vein, Perc Approach",kg,S66105D,goods
Tomatoes Tear Drop,28920.3,44634.28,"Bypass Abd Aorta to Celiac Art w Autol Art, Perc Endo",kg,S52133B,goods
Pepper - Cayenne,35709.5,49378.68,"Dilate of L Peroneal Art with 2 Intralum Dev, Open Approach",kg,K461,goods
"Beef - Outside, Round",36038.85,12873.44,"Drainage of Right Carotid Body, Perc Endo Approach",kg,S730,goods
"Carrots - Purple, Organic",15471.93,32947.5,"Extraction of Left Lesser Saphenous Vein, Open Approach",kg,V521XXA,goods
Coffee - Flavoured,24671.96,20471.68,"Extirpation of Matter from Left Temporal Bone, Perc Approach",kg,F331,goods
Muffin Batt - Carrot Spice,24482.6,49645.74,LDR Brachytherapy of R Breast using Iridium 192,kg,S32492D,goods
Wine - Baron De Rothschild,3118.28,19669.29,"Reposition Inferior Mesenteric Artery, Perc Endo Approach",kg,S61206S,goods
Longos - Chicken Caeser Salad,36134.86,1289.42,"Reposition Right Tibia, Percutaneous Endoscopic Approach",kg,H02132,goods
Veal - Slab Bacon,29138.09,4296.34,"Occlusion Hepatic Art w Extralum Dev, Perc Endo",kg,M6024,goods
Ham - Procutinni,23647.7,36521.03,"Drainage of Tongue, Open Approach, Diagnostic",kg,V346XXD,goods
Tomatoes - Orange,39831.58,4833.38,"Excision of Duodenum, Percutaneous Endoscopic Approach",kg,V9215XS,goods
Wine - Hardys Bankside Shiraz,16401.68,36885.58,"Dilation of Right Renal Artery, Percutaneous Approach",kg,T50901D,goods
"Wine - Red, Pelee Island Merlot",10612.41,43374.43,"Supplement L Ant Tib Art with Autol Sub, Perc Approach",kg,S72065K,goods
Juice - Lemon,20632.54,54684.3,"Dilation of Left Femoral Vein, Perc Endo Approach",kg,X118XXD,goods
Bagel - Ched Chs Presliced,29155.98,23344.44,"Supplement Left Kidney Pelvis with Nonaut Sub, Via Opening",kg,E242,goods
Fond - Chocolate,8107.73,26885.36,"Destruction of R Low Arm Subcu/Fascia, Open Approach",kg,S52226B,goods
Soup - Campbells Chicken,6171.56,388.23,"Transfuse Nonaut Red Blood Cells in Periph Vein, Open",kg,S062X6,goods
Container - Hngd Cll Blk 7x7x3,19465.11,36172.98,"Excision of Stomach, Pylorus, Percutaneous Approach, Diagn",kg,Y37190S,goods
Yoghurt Tubes,44384.82,3113.08,"Msrmt & Monitor, Physiological Dev, Measure",kg,O4421,goods
Potatoes - Parissienne,8674.05,39206.75,"Release Left Ankle Bursa and Ligament, Perc Endo Approach",kg,S12350K,goods
Compound - Pear,7540.94,6631.55,"Bypass Colic Vein to Low Vein w Synth Sub, Perc Endo",kg,R800,goods
Ice Cream - Strawberry,7004.94,16371.37,"Supplement R Com Iliac Art with Synth Sub, Open Approach",kg,S82299D,goods
Pasta - Angel Hair,25463.93,40649.5,"Bypass R Ulnar Art to R Low Arm Art w Autol Art, Open",kg,T63033A,goods
Broom And Broom Rack White,26917.76,24068.71,"Bypass Right Brachial Vein to Upper Vein, Perc Endo Approach",kg,T23499D,goods
"Liqueur Banana, Ramazzotti",31633.74,38054.98,"Drainage of Lower Esophagus, Percutaneous Approach",kg,S82465H,goods
Beef - Tenderloin - Aa,39342.02,50011.87,"Drainage of Vagus Nerve with Drainage Device, Open Approach",kg,G40119,goods
Oil - Macadamia,41183.53,49650.68,"Extirpation of Matter from Right Ankle Tendon, Perc Approach",kg,W2103XA,goods
"Lemonade - Kiwi, 591 Ml",15941.7,32990.51,"Release Right External Ear, Open Approach",kg,S42279D,goods
Tarragon - Fresh,11908.24,20279.61,"Extirpation of Matter from Pericardial Cavity, Open Approach",kg,S12231K,goods
Cookie Double Choco,8557.47,4356.94,"Drainage of Left Orbit with Drainage Device, Perc Approach",kg,M6730,goods
Cheese - Bocconcini,23731.05,26159.28,"Supplement Prepuce with Synth Sub, Extern Approach",kg,R85612,goods
Apple - Royal Gala,23957.2,48996.99,"Repair Right Tarsal, Percutaneous Endoscopic Approach",kg,S70271,goods
Jolt Cola,43317.66,1365.39,"Dilate of L Int Mamm Art with 4+ Intralum Dev, Open Approach",kg,S46301D,goods
"Juice - Cranberry, 341 Ml",15530.43,36951.58,"Replace of L Hand Subcu/Fascia with Synth Sub, Open Approach",kg,R29720,goods
"Bread - Roll, Calabrese",36382.84,4690.31,"Supplement Left Upper Leg with Synth Sub, Open Approach",kg,V569XXD,goods
"Turkey - Whole, Fresh",27283.4,48225.32,Low Dose Rate (LDR) Brachytherapy of Testis using Iodine 125,kg,T25639D,goods
Lettuce - Treviso,5590.09,47487.64,"Excision of R Acromioclav Jt, Perc Endo Approach, Diagn",kg,T650X2A,goods
Pork - Suckling Pig,7807.92,18031.01,"Destruction of Left Thorax Muscle, Percutaneous Approach",kg,S61335,goods
Longos - Chicken Wings,40463.57,38210.13,"Drainage of Left Thyroid Artery, Open Approach",kg,M71811,goods
Mayonnaise - Individual Pkg,19330.39,22738.77,"Excision of Left Vitreous, Percutaneous Approach",kg,S50321D,goods
Kiwano,29960.6,38856.03,"Destruction of Cervix, Via Natural or Artificial Opening",kg,O98411,goods
"Fish - Base, Bouillion",16945.11,28820.12,"Destruction of Cervical Vertebral Joint, Perc Endo Approach",kg,V9180,goods
Mackerel Whole Fresh,42566.15,5695.66,"Excision of Right Hand Artery, Percutaneous Approach, Diagn",kg,S31114A,goods
Flavouring - Rum,6368.03,35483.37,HDR Brachytherapy of Spleen using Iridium 192,kg,M4980,goods
Rolled Oats,3756.48,33127.67,"Transfer Tibial Nerve to Sciatic Nerve, Open Approach",kg,S8264XC,goods
Carbonated Water - Strawberry,29392.49,40112.25,"Fusion of R Metacarpocarp Jt with Nonaut Sub, Open Approach",kg,S72421A,goods
Soup - Campbells - Tomato,26762.41,37606.05,"Insert of Monopln Ext Fix into R Radius, Perc Endo Approach",kg,S58922D,goods
Puree - Passion Fruit,41189.87,6609.54,"Irrigation of GU Tract using Irrigat, Via Opening, Diagn",kg,S21011,goods
Orange Roughy 6/8 Oz,7966.41,3998.69,"Reposition Epiglottis, Open Approach",kg,S72322G,goods
Wine - Rubyport,7798.69,42029.5,"Remove Intralum Dev from Hepatobil Duct, Perc Endo",kg,S2017,goods
Pepper - Jalapeno,38803.98,45246.73,"Release Lumbar Sympathetic Nerve, Percutaneous Approach",kg,S49139P,goods
"Mushroom - Enoki, Fresh",5217.05,12880.25,"Bypass R Ext Iliac Art to B Femor A w Autol Vn, Open",kg,H16222,goods
Pate - Cognac,19755.89,11298.35,"Bypass Innominate Artery to R Up Arm Art, Open Approach",kg,T468X6S,goods
Pan Grease,28759.03,17292.67,"Division of Perineum Muscle, Perc Endo Approach",kg,S52011S,goods
"Beef - Bones, Marrow",39039.44,25057.07,"Bypass L Int Iliac Art to L Ext Ilia w Synth Sub, Open",kg,O328XX9,goods
Cheese - Comte,31854.54,22709.93,"Removal of Nonaut Sub from Lum Vertebra, Open Approach",kg,M10362,goods
Tea - Grapefruit Green Tea,37248.23,14919.28,LDR Brachytherapy of Tongue using Californium 252,kg,M89542,goods
Halibut - Fletches,10449.47,30618.65,"Replacement of Tongue with Synth Sub, Open Approach",kg,O2250,goods
"Beef - Rouladin, Sliced",9035.73,3657.41,"Excision of Left Foot Skin, External Approach",kg,O368235,goods
Wine - Barolo Fontanafredda,15889.32,46634.3,"Supplement R Knee Jt with Liner, Patella, Open Approach",kg,S53003,goods
Celery Root,7217.72,37899.85,"Insertion of Ring Ext Fix into L Low Femur, Open Approach",kg,R451,goods
Wine - Prosecco Valdobiaddene,15615.45,46670.64,"Replacement of Sup Mesent Art with Autol Sub, Open Approach",kg,V300XXS,goods
Bar Special K,22734.8,1188.03,Motor Function Treatment of Neuro Body using Orthosis,kg,S72342H,goods
"Trout - Rainbow, Frozen",39885.87,54171.26,Plain Radiography of Inferior Vena Cava using L Osm Contrast,kg,S66118S,goods
Bread - Frozen Basket Variety,32209.0,3581.15,"Insertion of Neuro Lead into Azygos Vein, Open Approach",kg,T593X,goods
Venison - Striploin,25752.05,42056.33,"Supplement Right Ulnar Artery with Nonaut Sub, Perc Approach",kg,P132,goods
"Crab - Claws, 26 - 30",38447.57,8829.53,"Revision of Infusion Dev in R Elbow Jt, Perc Endo Approach",kg,Z1610,goods
Pastry - Plain Baked Croissant,6570.07,46601.79,"Bypass L Subclav Art to Up Arm Vein w Nonaut Sub, Open",kg,Z490,goods
Longos - Chicken Wings,25235.42,49618.01,"Release Right Ankle Joint, Percutaneous Endoscopic Approach",kg,M8430XA,goods
Cocoa Butter,7757.82,46230.77,"Bypass Left Brachial Vein to Upper Vein, Open Approach",kg,M623,goods
Chocolate - Dark,4711.46,39630.28,"Occlusion of Azygos Vein with Intralum Dev, Open Approach",kg,Y906,goods
"Doilies - 8, Paper",15050.12,50008.33,"Introduction of Oth Diagn Subst into GU Tract, Endo",kg,W5639XS,goods
Parasol Pick Stir Stick,3105.84,34229.67,"Drainage of Esophagogastric Junction, Perc Approach, Diagn",kg,S1082XD,goods
Hinge W Undercut,5604.52,3668.98,"Drainage of Scrotum with Drainage Device, Perc Approach",kg,V9138,goods
Dried Cranberries,11824.69,4450.34,"Supplement L Thyroid Art with Nonaut Sub, Open Approach",kg,S82031E,goods
"Pepper - Black, Crushed",42268.95,28965.31,"Restriction of Left Main Bronchus, Via Opening",kg,M86461,goods
"Chilli Paste, Sambal Oelek",3744.54,42594.48,"Drainage of Right Epididymis, Percutaneous Approach",kg,S72456,goods
Juice - Orangina,5975.57,12697.37,"Drainage of R Up Leg Subcu/Fascia, Open Approach",kg,Y3743,goods
Apple - Macintosh,36677.55,11037.05,"Occlusion of Cystic Duct, Via Natural or Artificial Opening",kg,T43623A,goods
Shiro Miso,20996.68,209.09,"Exercise Treatment of Resp Head, Neck using Prosthesis",kg,N809,goods
Chicken - Bones,16788.9,19927.4,"Replacement of Abd Aorta with Autol Sub, Perc Endo Approach",kg,Z8952,goods
Kellogs Cereal In A Cup,35841.23,52386.75,"Excision of Left Brachial Vein, Perc Endo Approach, Diagn",kg,S30820S,goods
Wine - Remy Pannier Rose,21144.73,16533.06,"Revision of Drainage Device in Adrenal Gland, Open Approach",kg,S0292,goods
Beans - Kidney White,39311.65,27768.14,"Release Right Inguinal Lymphatic, Open Approach",kg,S08811S,goods
Chinese Foods - Thick Noodles,44043.28,36540.76,"Bypass L Int Iliac Art to R Femor A w Autol Vn, Open",kg,T63192S,goods
Lambcasing,17637.93,49223.61,"Division of Left Trunk Tendon, Open Approach",kg,R845,goods
Chef Hat 25cm,20305.19,27428.8,"Drainage of Right Axillary Lymphatic, Open Approach",kg,S32051,goods
Soup - Chicken And Wild Rice,8163.72,36268.6,"Inspection of Left Hand, Percutaneous Endoscopic Approach",kg,E630,goods
Water Chestnut - Canned,18797.63,11342.99,"Reposition Right Axillary Vein, Open Approach",kg,S72425A,goods
Pheasants - Whole,14092.6,22047.93,"MRI of Liver using Oth Contrast, Unenh, Enhance",kg,S73041A,goods
Chocolate - Mi - Amere Semi,44594.4,2832.6,"Revision of Drain Dev in Parathyroid Gland, Open Approach",kg,H30112,goods
Mushroom - Crimini,16423.99,46696.49,"Insertion of Intralum Dev into R Ulnar Art, Open Approach",kg,S82125C,goods
Muffin - Mix - Bran And Maple 15l,37419.76,2287.58,"Reposition Right Cephalic Vein, Perc Endo Approach",kg,S32442B,goods
"Chicken - Leg, Fresh",39711.59,39003.65,"Assist with Cardiac Output using Balloon Pump, Continuous",kg,S120,goods
Island Oasis - Lemonade,31940.76,53045.05,"Insert of Intralum Dev into R Ulnar Art, Perc Endo Approach",kg,T25022D,goods
Cheese - Parmesan Grated,17523.24,3827.96,"Introduction of Anti-inflam into Central Vein, Perc Approach",kg,V746XXD,goods
"Cherries - Bing, Canned",34081.0,43589.56,"Dilation of L Hand Art with 2 Intralum Dev, Perc Approach",kg,S72321P,goods
V8 - Tropical Blend,33404.29,15385.4,"Transfer Facial Nerve to Trochlear Nerve, Open Approach",kg,T22711S,goods
Coffee Cup 12oz 5342cd,8671.06,36724.67,"Revision of Autol Sub in Vagina & Cul-de-sac, Open Approach",kg,M12849,goods
Energy Drink - Franks Pineapple,43885.23,48258.74,"Insertion of Infusion Device into L Low Leg, Perc Approach",kg,N835,goods
"Nut - Peanut, Roasted",6918.71,7891.75,"Measurement of Respiratory Rate, Via Opening",kg,J910,goods
"Wine - Harrow Estates, Vidal",12302.11,24010.78,"Release Left Humeral Shaft, Open Approach",kg,V124,goods
Soup - Base Broth Beef,15098.12,17057.79,"Dilation of L Fem Art with 2 Drug-elut, Perc Endo Approach",kg,M238X2,goods
Ice Cream Bar - Hagen Daz,44885.52,3047.99,"Fluoroscopy of Bi Pulm Vein using L Osm Contrast, Guidance",kg,S43031D,goods
Table Cloth 53x53 White,44662.69,34911.5,"Revision of Synth Sub in R Metatarsophal Jt, Extern Approach",kg,H27111,goods
"Shrimp - Baby, Cold Water",16439.42,15104.22,"Repair Abdominal Sympathetic Nerve, Perc Endo Approach",kg,S21342A,goods
Eel - Smoked,21807.86,37071.06,"Revision of Nonaut Sub in R Metatarsophal Jt, Perc Approach",kg,M87188,goods
Jameson - Irish Whiskey,1452.23,8927.48,"Revision of Int Fix in R Finger Phalanx, Open Approach",kg,S36021,goods
Pumpkin,44427.45,35132.35,"Restriction of Left External Carotid Artery, Perc Approach",kg,V842,goods
Tuna - Sushi Grade,21068.34,8560.16,"Dilate of L Post Tib Art with 4+ Intralum Dev, Open Approach",kg,M891,goods
Sugar - Splenda Sweetener,17967.11,10198.29,"Insertion of Int Fix into L Elbow Jt, Perc Endo Approach",kg,V629XXS,goods
Egg Patty Fried,9310.9,14315.97,"Reposition Left Upper Eyelid, Open Approach",kg,T591X3S,goods
Garbage Bags - Black,13891.24,47144.28,"Removal of Synth Sub from Coccyx, Perc Endo Approach",kg,K8021,goods
Sugar Thermometer,10959.22,52723.42,Plain Radiography of Multiple Teeth,kg,T502X6A,goods
Bread - Malt,27034.64,24690.57,"Transfuse Autol Hemat Stem Cell in Periph Art, Open",kg,W5501XD,goods
Beef - Striploin,42323.93,28671.09,"Bypass L Com Iliac Art to B Ext Ilia w Autol Art, Perc Endo",kg,M6248,goods
"Flour - Bran, Red",1754.69,4306.76,"Supplement R Abd Tendon with Nonaut Sub, Open Approach",kg,M2564,goods
Ice Cream Bar - Drumstick,36957.8,34985.52,"Excision of L Great Saphenous, Open Approach, Diagn",kg,S62241S,goods
Foil - 4oz Custard Cup,41246.64,30115.85,"Removal of Drainage Device from Skull, Open Approach",kg,X963,goods
Beer - Creemore,14055.99,42427.34,"Heart and Great Vessels, Resection",kg,S80872D,goods
Numi - Assorted Teas,4296.19,13376.17,MRI of Port/Splanch Vein using Oth Contrast,kg,H510,goods
"Wine - White, Riesling, Henry Of",35448.47,38905.46,"Repair Nose, Open Approach",kg,H02401,goods
Wine - Vouvray Cuvee Domaine,26860.39,13318.34,"Resection of Right Lower Eyelid, Open Approach",kg,M84441S,goods
Chick Peas - Dried,30633.62,50787.66,"Drainage of Left Shoulder Muscle, Open Approach",kg,M232,goods
Halibut - Steaks,15053.72,1201.2,"Excision of Left Thorax Tendon, Open Approach",kg,M84674P,goods
"Pork - Tenderloin, Fresh",17893.25,39638.44,"Replacement of Right Radius with Autol Sub, Perc Approach",kg,S42492S,goods
Chef Hat 25cm,43698.83,150.04,"Repair Left Metatarsal-Tarsal Joint, Percutaneous Approach",kg,T81512D,goods
Appetizer - Mango Chevre,21378.81,9587.97,Gait Training/Ambulat Treatment using Aerobic Equipment,kg,S62305B,goods
Horseradish - Prepared,34897.01,6973.6,"Insertion of Infusion Device into Jejunum, Endo",kg,O7582,goods
"Juice - Pineapple, 341 Ml",40803.9,36139.53,Change Splint on Face,kg,S60931A,goods
Potato - Sweet,41046.37,45181.0,"Restrict L Temporal Art w Extralum Dev, Perc Endo",kg,E852,goods
Toothpick Frilled,42257.67,31004.36,"Bypass R Brach Vein to Up Vein w Autol Sub, Perc Endo",kg,S3660,goods
Chocolate - Dark,41807.09,17441.57,"Replacement of Right Nipple with Nonaut Sub, Open Approach",kg,S66809,goods
Truffle Cups - Brown,10892.9,36148.58,"Excision of Left Inguinal Lymphatic, Open Approach",kg,T2541,goods
Beets - Pickled,21407.23,30053.41,"Revision of Nonaut Sub in Low Bursa/Lig, Perc Endo Approach",kg,S52201R,goods
Spice - Paprika,28906.1,10679.88,"Insertion of Spacer into L Elbow Jt, Perc Endo Approach",kg,S52266J,goods
Mountain Dew,43641.11,7054.23,"Revision of Spacer in L Temporomandib Jt, Perc Approach",kg,M84321,goods
Mackerel Whole Fresh,18120.76,46852.29,"Bypass 2 Cor Art from R Int Mammary w Zooplastic, Perc Endo",kg,Y37410A,goods
"Butter - Salted, Micro",26675.74,2377.9,"Excision of Accessory Nerve, Open Approach",kg,T3372XS,goods
Longos - Grilled Veg Sandwiches,41027.36,27149.81,Removal of Pressure Dressing on Right Lower Extremity,kg,S62134S,goods
Wakami Seaweed,6897.82,12423.57,"Revision of Monitor Dev in Tracheobronc Tree, Perc Approach",kg,S63621S,goods
Chips - Potato Jalapeno,30249.76,40266.25,"Insert of Radioact Elem into Hepatobil Duct, Open Approach",kg,L892,goods
Island Oasis - Cappucino Mix,35061.56,34466.7,"Reposition R Toe Phalanx Jt with Int Fix, Perc Approach",kg,S72464B,goods
Sauce - Plum,736.25,31953.57,"Introduction of Other Gas into Spinal Canal, Perc Approach",kg,T43013S,goods
Muffin - Mix - Bran And Maple 15l,29305.44,26092.42,"Drainage of Right Elbow Joint, Percutaneous Approach",kg,S82243,goods
Herb Du Provence - Primerba,25446.65,32560.15,"Bypass Ascending Colon to Cutaneous, Endo",kg,S3282XB,goods
Puree - Passion Fruit,32126.93,36375.4,Immobilization of Right Inguinal Region using Other Device,kg,S72431N,goods
Lettuce Romaine Chopped,33131.68,31442.62,"Fusion of Lum Jt, Ant Appr A Col, Open Approach",kg,T464X2,goods
Bar Mix - Lime,5230.97,23531.39,"Release Right Upper Leg Tendon, Percutaneous Approach",kg,S61541A,goods
Icecream - Dstk Strw Chseck,30706.74,25961.2,"Insertion of Monitoring Device into Jejunum, Perc Approach",kg,S74,goods
"Pasta - Tortellini, Fresh",23772.76,51948.61,"Occlusion of R Femor Vein with Intralum Dev, Perc Approach",kg,S75022,goods
"Liners - Banana, Paper",30384.72,2053.6,"Replace R Up Arm Skin w Autol Sub, Part Thick, Extern",kg,A510,goods
Container - Hngd Cll Blk 7x7x3,38873.24,28356.78,"Replace of L Toe Phalanx with Nonaut Sub, Perc Endo Approach",kg,F061,goods
"Roe - Lump Fish, Red",34578.27,4572.34,"Dilate of L Int Carotid with 4+ Intralum Dev, Perc Approach",kg,S62300B,goods
Foil - Round Foil,31817.93,50946.5,"Excision of Urethra, Percutaneous Approach, Diagnostic",kg,Y93A1,goods
Oil - Sunflower,2200.56,6433.48,"Bypass R Int Iliac Art to R Ext Ilia w Autol Vn, Perc Endo",kg,O4101X5,goods
Scallops - In Shell,33346.65,19678.23,"Inspection of Thoracic Vertebral Disc, Open Approach",kg,A879,goods
Cardamon Seed / Pod,11509.83,28801.94,"Drainage of R Metatarsophal Jt, Perc Endo Approach",kg,S7105,goods
"Tart Shells - Sweet, 4",34981.22,5709.35,"Bypass L Fallopian Tube to Uterus w Synth Sub, Perc Endo",kg,S52045N,goods
Oven Mitts - 15 Inch,29740.44,30875.32,"Reposition Cervical Vertebra, Perc Endo Approach",kg,K7151,goods
Crab - Imitation Flakes,27770.14,31349.26,"Revision of Drainage Device in Ureter, Perc Endo Approach",kg,S62650S,goods
"Pepsi - Diet, 355 Ml",41213.38,18291.19,"Drainage of Penis, External Approach, Diagnostic",kg,T84290,goods
Bread - 10 Grain,38415.3,48189.83,"Dilation of R Ext Carotid with 3 Intralum Dev, Open Approach",kg,T84059S,goods
Chips Potato Reg 43g,11543.71,26798.56,"Revision of Drainage Device in Uterus & Cervix, Via Opening",kg,S9235,goods
Versatainer Nc - 8288,37497.61,54160.97,"Destruction of Left Lower Eyelid, Percutaneous Approach",kg,M26619,goods
Bread - Bistro Sour,38760.03,53327.74,"Extirpation of Matter from Int Mamm, R Lymph, Open Approach",kg,S43159D,goods
"Rum - Cream, Amarula",24479.97,26778.07,"Removal of Spacer from L Shoulder Jt, Perc Endo Approach",kg,H4303,goods
Kellogs Special K Cereal,38033.56,17218.6,"Repair Right Elbow Bursa and Ligament, Percutaneous Approach",kg,H53,goods
"Soup - Campbells, Spinach Crm",24972.56,31781.74,"Insert of Intralum Dev into R Brach Vein, Perc Endo Approach",kg,O43222,goods
Sterno - Chafing Dish Fuel,10043.53,29346.47,"Drainage of Mediastinum, Open Approach, Diagnostic",kg,S14108D,goods
Beer - Mill St Organic,3509.96,23895.07,"Dilate R Hepatic Duct w Intralum Dev, Perc Endo",kg,M80851P,goods
Taro Leaves,15823.44,28378.48,"Revision of Bone Stim in Skull, Perc Endo Approach",kg,S43301A,goods
Broom Handle,4800.64,40561.57,"Reposition R Lacrimal Bone with Int Fix, Perc Endo Approach",kg,S65596D,goods
Compound - Passion Fruit,43656.26,8870.93,"Excision of Right Vocal Cord, Via Opening",kg,A389,goods
Wine - Alicanca Vinho Verde,25677.63,47061.54,"Repair Cervical Nerve, Percutaneous Endoscopic Approach",kg,L853,goods
Radish,25476.38,40646.45,"Fragmentation in Right Ureter, Via Opening",kg,I69911,goods
Butter - Salted,37832.03,746.8,"Excision of Gastric Artery, Perc Endo Approach, Diagn",kg,S82243C,goods
"Noodles - Cellophane, Thin",11198.43,20296.74,"Insertion of Radioact Elem into R Ankle, Perc Endo Approach",kg,Z3862,goods
Milk - Chocolate 500ml,33488.86,12565.03,"Dilation of R Verteb Art with Drug-elut Intra, Perc Approach",kg,M953,goods
"Veal - Round, Eye Of",11900.3,48104.25,Plaque Radiation of Mouth,kg,F1397,goods
Yogurt - Plain,8599.45,5360.52,"Release Right Clavicle, Percutaneous Endoscopic Approach",kg,S56195S,goods
"Split Peas - Yellow, Dry",14537.55,39529.08,"Supplement L Low Arm & Wrist Muscle w Nonaut Sub, Open",kg,S0240FG,goods
V8 Pet,19188.57,28100.81,"Dilate L Com Carotid, Bifurc, w 3 Drug-elut, Perc Endo",kg,S82499J,goods
"Salt - Rock, Course",26366.01,1935.86,"Removal of Nonaut Sub from Brain, Perc Endo Approach",kg,V184XXS,goods
"Bread - Pullman, Sliced",29747.54,48572.22,"Replacement of L Low Femur with Autol Sub, Perc Approach",kg,E093553,goods
Squid - U 5,9668.46,33544.61,"Release Left Subclavian Artery, Open Approach",kg,T17290S,goods
Pancetta,16470.8,4060.02,"Mental Health, Medication Management",kg,D490,goods
Piping Jelly - All Colours,28104.88,25300.47,"Replacement of R Tibia with Nonaut Sub, Perc Endo Approach",kg,S0211AK,goods
Wine - Hardys Bankside Shiraz,41568.89,33826.91,"Release Right Lower Arm and Wrist Muscle, Perc Approach",kg,Z6852,goods
Bulgar,6936.93,20551.15,"Drainage of Prostate, Percutaneous Approach, Diagnostic",kg,S8920,goods
Bar Mix - Lemon,28841.35,29711.38,"Insertion of Radioactive Element into L Foot, Perc Approach",kg,S96299A,goods
Butter - Pod,9835.07,39834.78,"Insert of Infusion Dev into Vas Deferens, Perc Endo Approach",kg,S65201A,goods
Mudslide,44360.57,23720.43,"Supplement Splenic Vein with Synth Sub, Perc Approach",kg,S52253,goods
